TIME,PDCSAP_FLUX
3156.445062185121,
3156.4654947065355,15256.059
3156.485927127018,15258.604
3156.5063594474923,15210.934
3156.526791967044,15056.529
3156.5472243861295,14903.816
3156.5676569047428,14878.948
3156.588089222896,15055.774
3156.6085216405845,15203.889
3156.6289541578008,
3156.649386474557,15293.508
3156.669818890383,15279.3125
3156.690251406202,15271.999
3156.710683721096,15277.838
3156.731116135983,15278.799
3156.751548649947,15275.799
3156.7719810634444,15282.544
3156.792413476469,15292.509
3156.812845889035,15280.735
3156.8332783011356,15286.92
3156.8537107122975,15292.461
3156.8741431234666,
3156.8945755337045,15262.209
3156.915008043936,15265.038
3156.9354403532416,15272.71
3156.9558727620824,15276.646
3156.976305270451,15281.084
3156.996738,15271.079
3157.017169985804,15288.301
3157.0376023927747,15286.46
3157.0580347988216,15288.829
3157.0784673048693,15282.92
3157.0988996104425,15277.301
3157.1193320150924,
3157.1397645192774,15287.073
3157.160196822988,15284.123
3157.1806292267065,15287.229
3157.2010617294945,15285.42
3157.2214940313424,15281.255
3157.2419264331984,15279.87
3157.2623589345894,15288.832
3157.282791235506,15272.87
3157.303224,15282.038
3157.3236561354934,15285.206
3157.344088534548,15297.941
3157.3645209331444,
3157.384953331275,15282.599
3157.4053857289327,15283.157
3157.425818126132,15279.163
3157.4462505228657,15269.361
3157.4666829191265,15273.915
3157.4871154149296,15284.6045
3157.507548,15281.56
3157.5279801046636,15285.543
3157.548412598604,15280.423
3157.568844892543,15288.642
3157.589277385545,15292.508
3157.6097097780876,15291.932
3157.630142070164,15307.742
3157.6505745617687,15276.317
3157.6710069529145,15287.583
3157.691439243594,15293.639
3157.711871733336,15276.804
3157.732304023084,15277.751
3157.7527364119014,15277.121
3157.7731689007123,15287.55
3157.7936011885977,15273.269
3157.814033576018,15266.795
3157.8344660629664,15271.384
3157.854898449921,
3157.875330735944,15280.424
3157.8957632210295,15277.398
3157.9161956061216,15276.326
3157.936627990741,15281.411
3157.9570603749016,15245.208
3157.977492758131,15269.701
3157.997925241354,15274.044
3158.0183575236515,15265.153
3158.038789905484,15266.401
3158.0592223868443,15263.751
3158.0796546682104,15267.456
3158.100087048646,
3158.1205195286093,15292.219
3158.140951807647,15282.928
3158.1613841866856,15280.684
