# time_days,magnitude
3.381377,-0.012876
3.694956,0.061290
4.031146,-0.013373
5.075055,0.161642
6.713848,-0.020266
7.911486,-0.017836
8.026955,-0.020532
8.288161,-0.024767
8.872767,0.059520
9.491404,-0.047708
9.558953,-0.026875
10.507247,-0.029824
10.617606,-0.029235
11.283330,0.045670
12.109115,-0.042704
13.220434,-0.020441
13.301933,-0.031271
13.425194,-0.023907
14.388693,-0.028936
14.651974,-0.028419
15.026681,0.157900
16.402595,-0.029600
16.988513,-0.021709
17.750655,-0.024766
18.506043,-0.021757
18.532040,-0.020406
18.555963,-0.015003
19.247891,-0.019324
19.353257,-0.001557
19.368509,-0.022999
19.780075,-0.014242
21.011354,-0.011509
22.265182,0.012955
22.763689,0.002707
22.943306,0.011873
24.478677,-0.006413
25.103620,0.190289
26.237860,0.115321
26.681258,0.018469
26.778738,0.028678
26.927472,0.013419
27.264178,0.033943
28.697862,0.138219
29.732026,0.023976
29.765853,0.023235
29.834090,0.042395
31.506736,0.047027
33.009629,0.027585
33.015921,0.028616
33.071927,0.030031
33.175858,0.019456
33.581929,0.023851
33.908801,0.023029
34.285156,0.025345
37.540844,0.517322
37.579488,0.519923
37.727656,0.356290
37.831182,0.330555
39.975996,0.344037
41.101391,0.327921
41.154113,0.419891
42.017895,0.020781
42.401037,0.001199
44.586911,0.006600
46.263728,0.087407
46.397596,-0.000460
47.487663,-0.007245
47.967307,0.012398
48.542275,-0.020875
48.965828,-0.021472
50.633750,-0.028334
51.515186,-0.030330
51.967713,-0.032379
53.116995,-0.016765
53.871492,0.074732
54.052596,-0.035987
54.421970,-0.039106
54.850581,-0.026551
55.380230,-0.037233
56.195334,0.064795
56.746285,-0.030045
57.273158,-0.047068
58.570634,-0.015316
59.384610,-0.011623
59.684093,-0.035169
60.443028,-0.031328
60.955523,-0.023345
61.397968,-0.021674
61.422174,-0.018366
61.931531,-0.003363
62.303649,-0.024074
62.305258,-0.030282
62.421228,-0.035718
63.451810,-0.025664
64.599526,-0.014259
64.752850,0.004639
65.911532,-0.013596
66.580455,-0.003244
66.639274,-0.005384
66.854914,0.007625
67.965020,0.026017
68.382581,-0.002671
68.606816,-0.001243
68.943361,0.015609
70.938840,0.020672
71.300643,0.124337
71.418937,0.021657
72.592217,0.193177
73.567941,0.029569
73.819554,0.126075
74.074226,0.033437
74.301205,0.030969
75.280424,0.039124
75.999265,0.041697
77.816725,0.046360
78.235568,0.039316
78.760742,0.121893
80.337905,0.034042
80.761168,0.044245
81.174162,0.114047
81.788399,0.034442
82.663773,0.025108
82.835671,0.028940
82.897042,0.041295
83.830882,0.118531
84.584413,0.024280
84.733028,0.009737
85.335570,0.028753
85.458922,0.027308
85.794160,0.041267
85.958291,0.015945
86.260324,0.110594
86.737079,0.018489
87.303800,0.029450
87.426356,0.012210
87.501718,0.192089
88.064186,0.016520
89.087911,0.007790
90.736973,-0.005988
91.003757,-0.000786
92.754174,0.000316
93.066724,-0.022001
93.133621,-0.010685
93.473462,-0.020415
94.082197,-0.003887
94.286373,-0.031857
97.831117,-0.033209
98.122714,-0.024484
99.551177,-0.015037
99.877601,-0.031741
99.926510,-0.036689
100.390289,-0.012759
101.343836,0.043996
101.668613,-0.054081
